  x-r-uv           y-r-uv    x-s-uv           y-s-uv    x-r-ecd       y-r-ecd    x-s-ecd        y-s-ecd
   194.8     55.6648          194.8     37.0885           194.8   0.186347         194.8    0.0420047
   195       65.7922          195       44.058            195     0.221076         195      0.0486325
   195.2     77.4867          195.2     52.1491           195.2   0.261257         195.2    0.0560348
   195.4     90.9405          195.4     61.5068           195.4   0.307545         195.4    0.0642517
   195.6    106.361           195.6     72.2885           195.6   0.360643         195.6    0.0733158
   195.8    123.972           195.8     84.6648           195.8   0.42129          195.8    0.0832506
   196      144.012           196       98.8191           196     0.490264         196      0.0940678
   196.2    166.736           196.2    114.948            196.2   0.568373         196.2    0.105766
   196.4    192.411           196.4    133.26             196.4   0.656446         196.4    0.118327
   196.6    221.323           196.6    153.977            196.6   0.755331         196.6    0.131717
   196.8    253.769           196.8    177.333            196.8   0.865875         196.8    0.14588
   197      290.057           197      203.572            197     0.988922         197      0.16074
   197.2    330.511           197.2    232.949            197.2   1.12529          197.2    0.176198
   197.4    375.462           197.4    265.728            197.4   1.27577          197.4    0.19213
   197.6    425.251           197.6    302.181            197.6   1.44109          197.6    0.20839
   197.8    480.227           197.8    342.587            197.8   1.62191          197.8    0.224806
   198      540.744           198      387.231            198     1.81882          198      0.241182
   198.2    607.16            198.2    436.402            198.2   2.03228          198.2    0.2573
   198.4    679.836           198.4    490.39             198.4   2.26263          198.4    0.272921
   198.6    759.133           198.6    549.486            198.6   2.51008          198.6    0.28779
   198.8    845.41            198.8    613.982            198.8   2.77465          198.8    0.301634
   199      939.023           199      684.166            199     3.05621          199      0.314175
   199.2   1040.32            199.2    760.322            199.2   3.35439          199.2    0.325125
   199.4   1149.65            199.4    842.729            199.4   3.66864          199.4    0.3342
   199.6   1267.35            199.6    931.659            199.6   3.99815          199.6    0.34112
   199.8   1393.73            199.8   1027.38             199.8   4.3419           199.8    0.345617
   200     1529.12            200     1130.14             200     4.69859          200      0.347445
   200.2   1673.81            200.2   1240.19             200.2   5.06669          200.2    0.346381
   200.4   1828.08            200.4   1357.77             200.4   5.44439          200.4    0.342235
   200.6   1992.2             200.6   1483.1              200.6   5.82966          200.6    0.334852
   200.8   2166.43            200.8   1616.39             200.8   6.2202           200.8    0.324124
   201     2350.98            201     1757.84             201     6.61347          201      0.309987
   201.2   2546.07            201.2   1907.65             201.2   7.00673          201.2    0.292428
   201.4   2751.89            201.4   2065.99             201.4   7.39702          201.4    0.271488
   201.6   2968.6             201.6   2233.03             201.6   7.78124          201.6    0.247258
   201.8   3196.34            201.8   2408.91             201.8   8.15611          201.8    0.219885
   202     3435.22            202     2593.79             202     8.51825          202      0.18956
   202.2   3685.33            202.2   2787.79             202.2   8.8642           202.2    0.156524
   202.4   3946.72            202.4   2991.03             202.4   9.19047          202.4    0.121054
   202.6   4219.41            202.6   3203.59             202.6   9.49357          202.6    0.083457
   202.8   4503.39            202.8   3425.58             202.8   9.77006          202.8    0.0440637
   203     4798.6             203     3657.04             203    10.0166           203      0.0032144
   203.2   5104.96            203.2   3898.04             203.2  10.2299           203.2   -0.0387513
   203.4   5422.33            203.4   4148.6              203.4  10.4071           203.4   -0.0815075
   203.6   5750.52            203.6   4408.71             203.6  10.5452           203.6   -0.124755
   203.8   6089.32            203.8   4678.34             203.8  10.6418           203.8   -0.168235
   204     6438.43            204     4957.43             204    10.6947           204     -0.211741
   204.2   6797.51            204.2   5245.89             204.2  10.7019           204.2   -0.255132
   204.4   7166.17            204.4   5543.56             204.4  10.662            204.4   -0.298347
   204.6   7543.95            204.6   5850.27             204.6  10.5738           204.6   -0.341406
   204.8   7930.33            204.8   6165.77             204.8  10.4366           204.8   -0.384429
   205     8324.7             205     6489.75             205    10.2503           205     -0.427635
   205.2   8726.42            205.2   6821.86             205.2  10.015            205.2   -0.471345
   205.4   9134.74            205.4   7161.67             205.4   9.7314           205.4   -0.515988
   205.6   9548.86            205.6   7508.68             205.6   9.40059          205.6   -0.562096
   205.8   9967.92            205.8   7862.3              205.8   9.02412          205.8   -0.610296
   206    10390.9             206     8221.88             206     8.60398          206     -0.661309
   206.2  10816.9             206.2   8586.68             206.2   8.14254          206.2   -0.715934
   206.4  11244.8             206.4   8955.85             206.4   7.64255          206.4   -0.77504
   206.6  11673.4             206.6   9328.51             206.6   7.10713          206.6   -0.839544
   206.8  12101.5             206.8   9703.63             206.8   6.53967          206.8   -0.9104
   207    12527.9             207    10080.2              207     5.94386          207     -0.988579
   207.2  12951.2             207.2  10456.9              207.2   5.32358          207.2   -1.07505
   207.4  13370.1             207.4  10832.7              207.4   4.6829           207.4   -1.17075
   207.6  13783.1             207.6  11206.1              207.6   4.02603          207.6   -1.27658
   207.8  14188.9             207.8  11575.9              207.8   3.35722          207.8   -1.39337
   208    14586               208    11940.5              208     2.68078          208     -1.52188
   208.2  14972.9             208.2  12298.7              208.2   2.00098          208.2   -1.66275
   208.4  15348.3             208.4  12648.7              208.4   1.32202          208.4   -1.81651
   208.6  15710.7             208.6  12989.3              208.6   0.647987         208.6   -1.98358
   208.8  16058.6             208.8  13318.8              208.8  -0.0171923        208.8   -2.1642
   209    16390.8             209    13635.7              209    -0.669792         209     -2.35851
   209.2  16705.8             209.2  13938.6              209.2  -1.30632          209.2   -2.56645
   209.4  17002.5             209.4  14226.1              209.4  -1.92355          209.4   -2.78785
   209.6  17279.6             209.6  14496.7              209.6  -2.51856          209.6   -3.02235
   209.8  17536.1             209.8  14749.2              209.8  -3.08871          209.8   -3.26947
   210    17770.9             210    14982.4              210    -3.63172          210     -3.52858
   210.2  17983.1             210.2  15195.2              210.2  -4.14565          210.2   -3.79891
   210.4  18171.9             210.4  15386.6              210.4  -4.62888          210.4   -4.07961
   210.6  18336.7             210.6  15555.6              210.6  -5.08017          210.6   -4.36968
   210.8  18476.8             210.8  15701.7              210.8  -5.49861          210.8   -4.66806
   211    18591.9             211    15824.1              211    -5.88363          211     -4.97364
   211.2  18681.6             211.2  15922.5              211.2  -6.23498          211.2   -5.28524
   211.4  18745.8             211.4  15996.7              211.4  -6.55272          211.4   -5.60163
   211.6  18784.6             211.6  16046.5              211.6  -6.83721          211.6   -5.92161
   211.8  18797.9             211.8  16071.9              211.8  -7.08906          211.8   -6.24394
   212    18786.1             212    16073.3              212    -7.30915          212     -6.56744
   212.2  18749.5             212.2  16051                212.2  -7.49854          212.2   -6.89093
   212.4  18688.7             212.4  16005.6              212.4  -7.65852          212.4   -7.21329
   212.6  18604.3             212.6  15937.8              212.6  -7.79053          212.6   -7.53345
   212.8  18497.1             212.8  15848.4              212.8  -7.89613          212.8   -7.85042
   213    18368               213    15738.5              213    -7.977            213     -8.16327
   213.2  18218               213.2  15609                213.2  -8.03491          213.2   -8.47115
   213.4  18048               213.4  15461.4              213.4  -8.07167          213.4   -8.77327
   213.6  17859.3             213.6  15296.8              213.6  -8.08913          213.6   -9.06894
   213.8  17653.2             213.8  15116.8              213.8  -8.08913          213.8   -9.35752
   214    17430.8             214    14922.7              214    -8.07352          214     -9.63845
   214.2  17193.5             214.2  14716.1              214.2  -8.04411          214.2   -9.91124
   214.4  16942.7             214.4  14498.6              214.4  -8.00263          214.4  -10.1754
   214.6  16679.7             214.6  14271.7              214.6  -7.95077          214.6  -10.4306
   214.8  16406               214.8  14037.1              214.8  -7.89015          214.8  -10.6765
   215    16123               215    13796.3              215    -7.82227          215    -10.9127
   215.2  15832.1             215.2  13550.9              215.2  -7.74856          215.2  -11.1388
   215.4  15534.6             215.4  13302.4              215.4  -7.67031          215.4  -11.3546
   215.6  15231.8             215.6  13052.3              215.6  -7.58874          215.6  -11.5598
   215.8  14925.2             215.8  12802                215.8  -7.50494          215.8  -11.7541
   216    14615.8             216    12552.8              216    -7.41986          216    -11.937
   216.2  14304.9             216.2  12306                216.2  -7.33438          216.2  -12.1082
   216.4  13993.7             216.4  12062.7              216.4  -7.24925          216.4  -12.2674
   216.6  13683.2             216.6  11824                216.6  -7.1651           216.6  -12.4141
   216.8  13374.3             216.8  11590.9              216.8  -7.08247          216.8  -12.5478
   217    13068               217    11364.1              217    -7.00179          217    -12.668
   217.2  12765.1             217.2  11144.6              217.2  -6.92341          217.2  -12.7741
   217.4  12466.4             217.4  10932.8              217.4  -6.84757          217.4  -12.8656
   217.6  12172.4             217.6  10729.3              217.6  -6.77445          217.6  -12.9418
   217.8  11883.9             217.8  10534.5              217.8  -6.70414          217.8  -13.0021
   218    11601.2             218    10348.8              218    -6.63666          218    -13.0458
   218.2  11324.9             218.2  10172.2              218.2  -6.57198          218.2  -13.0721
   218.4  11055.1             218.4  10005                218.4  -6.51002          218.4  -13.0804
   218.6  10792.3             218.6   9847.05             218.6  -6.45063          218.6  -13.07
   218.8  10536.6             218.8   9698.35             218.8  -6.39364          218.8  -13.0401
   219    10288.1             219     9558.72             219    -6.33884          219    -12.9901
   219.2  10046.9             219.2   9427.9              219.2  -6.28599          219.2  -12.9192
   219.4   9812.99            219.4   9305.59             219.4  -6.23483          219.4  -12.8269
   219.6   9586.35            219.6   9191.42             219.6  -6.18509          219.6  -12.7126
